exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,ano,bimestre,tipo
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (c/a),ReceitaDeServicos,RECEITA DE SERVIÇOS,9.19,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,SALDO (a-c),ReceitaDeServicos,RECEITA DE SERVIÇOS,2005007.72,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,ServicosAdministrativosEComerciaisGerais,Serviços Administrativos e Comerciais Gerais,2208000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),ServicosAdministrativosEComerciaisGerais,Serviços Administrativos e Comerciais Gerais,2208000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,No Bimestre (b),ServicosAdministrativosEComerciaisGerais,Serviços Administrativos e Comerciais Gerais,202992.28,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (b/a),ServicosAdministrativosEComerciaisGerais,Serviços Administrativos e Comerciais Gerais,9.19,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),ServicosAdministrativosEComerciaisGerais,Serviços Administrativos e Comerciais Gerais,202992.28,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (c/a),ServicosAdministrativosEComerciaisGerais,Serviços Administrativos e Comerciais Gerais,9.19,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,SALDO (a-c),ServicosAdministrativosEComerciaisGerais,Serviços Administrativos e Comerciais Gerais,2005007.72,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,75728000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,80001800.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,No Bimestre (b),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,15452405.04,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (b/a),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,19.32,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,15452405.04,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (c/a),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,19.32,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,SALDO (a-c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,64549394.96,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,32559000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,33973600.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,No Bimestre (b),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,5572831.92,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (b/a),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,16.4,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,5572831.92,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (c/a),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,16.4,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,SALDO (a-c),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,28400768.08,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,TransferenciasCorrentesDosEstadosEDoDistritoFederalEDeSuasEntidades,Transferências dos Estados e do Distrito Federal e de suas Entidades,28246000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),TransferenciasCorrentesDosEstadosEDoDistritoFederalEDeSuasEntidades,Transferências dos Estados e do Distrito Federal e de suas Entidades,31105200.0,2018,1,Receita
